Source Name	Characteristics [organism]	Characteristics [sex]	Characteristics [disease]	Characteristics [strain]	Characteristics [organism part]	Characteristics [developmental stage]	Characteristics [biosource type]	Provider	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [disease]
acute 1	Rattus norvegicus	female	experimental autoimmune encephalomyelitis (acute)	dark agouti	spinal cord	adult	frozen_sample	Harlan Winkelmann	P-MEXP-47934	acute 1	P-MEXP-47933	E_acute 1	total_RNA	P-AFFY-2	L_acute 1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	A015-13rI_T1_U34A	A-AFFY-18	P-AFFY-6	H_acute 1	A015-13rI_T1_U34A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1025-processed-data-1593096257.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.processed.1.zip	experimental autoimmune encephalomyelitis (acute)
acute 2	Rattus norvegicus	female	experimental autoimmune encephalomyelitis (acute)	dark agouti	spinal cord	adult	frozen_sample	Harlan Winkelmann	P-MEXP-47934	acute 2	P-MEXP-47933	E_acute 2	total_RNA	P-AFFY-2	L_acute 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	A015-13rI_T7_U34A	A-AFFY-18	P-AFFY-6	H_acute 2	A015-13rI_T7_U34A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1025-processed-data-1593096257.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.processed.1.zip	experimental autoimmune encephalomyelitis (acute)
acute 3	Rattus norvegicus	female	experimental autoimmune encephalomyelitis (acute)	dark agouti	spinal cord	adult	frozen_sample	Harlan Winkelmann	P-MEXP-47934	acute 3	P-MEXP-47933	E_acute 3	total_RNA	P-AFFY-2	L_acute 3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	A015vTW4K2	A-AFFY-18	P-AFFY-6	H_acute 3	A015vTW4K2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1025-processed-data-1593096257.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.processed.1.zip	experimental autoimmune encephalomyelitis (acute)
healthy 1	Rattus norvegicus	female	normal	dark agouti	spinal cord	adult	frozen_sample	Harlan Winkelmann	P-MEXP-47934	healthy 1	P-MEXP-47933	E_healthy 1	total_RNA	P-AFFY-2	L_healthy 1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	A015vTW4_-E2_U34A	A-AFFY-18	P-AFFY-6	H_healthy 1	A015vTW4_-E2_U34A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1025-processed-data-1593096257.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.processed.1.zip	normal
healthy 2	Rattus norvegicus	female	normal	dark agouti	spinal cord	adult	frozen_sample	Harlan Winkelmann	P-MEXP-47934	healthy 2	P-MEXP-47933	E_healthy 2	total_RNA	P-AFFY-2	L_healthy 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	A015_-E3_U34A	A-AFFY-18	P-AFFY-6	H_healthy 2	A015_-E3_U34A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1025-processed-data-1593096257.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.processed.1.zip	normal
healthy 3	Rattus norvegicus	female	normal	dark agouti	spinal cord	adult	frozen_sample	Harlan Winkelmann	P-MEXP-47934	healthy 3	P-MEXP-47933	E_healthy 3	total_RNA	P-AFFY-2	L_healthy 3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	A051_-EAE-5_U34A	A-AFFY-18	P-AFFY-6	H_healthy 3	A051_-EAE-5_U34A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1025-processed-data-1593096257.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.processed.1.zip	normal
recovery 1	Rattus norvegicus	female	experimental autoimmune encephalomyelitis (recovery)	dark agouti	spinal cord	adult	frozen_sample	Harlan Winkelmann	P-MEXP-47934	recovery 1	P-MEXP-47933	E_recovery 1	total_RNA	P-AFFY-2	L_recovery 1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	A051_14ri-6_U34A	A-AFFY-18	P-AFFY-6	H_recovery 1	A051_14ri-6_U34A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1025-processed-data-1593096257.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.processed.1.zip	experimental autoimmune encephalomyelitis (recovery)
recovery 2	Rattus norvegicus	female	experimental autoimmune encephalomyelitis (recovery)	dark agouti	spinal cord	adult	frozen_sample	Harlan Winkelmann	P-MEXP-47934	recovery 2	P-MEXP-47933	E_recovery 2	total_RNA	P-AFFY-2	L_recovery 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	A051_14ri-7_U34A	A-AFFY-18	P-AFFY-6	H_recovery 2	A051_14ri-7_U34A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1025-processed-data-1593096257.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.processed.1.zip	experimental autoimmune encephalomyelitis (recovery)
recovery 3	Rattus norvegicus	female	experimental autoimmune encephalomyelitis (recovery)	dark agouti	spinal cord	adult	frozen_sample	Harlan Winkelmann	P-MEXP-47934	recovery 3	P-MEXP-47933	E_recovery 3	total_RNA	P-AFFY-2	L_recovery 3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	A051_14ri-8_U34A	A-AFFY-18	P-AFFY-6	H_recovery 3	A051_14ri-8_U34A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1025-processed-data-1593096257.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.processed.1.zip	experimental autoimmune encephalomyelitis (recovery)
relapsing 1	Rattus norvegicus	female	experimental autoimmune encephalomyelitis (relapsing)	dark agouti	spinal cord	adult	frozen_sample	Harlan Winkelmann	P-MEXP-47934	relapsing 1	P-MEXP-47933	E_relapsing 1	total_RNA	P-AFFY-2	L_relapsing 1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	A015-MOG_T3_U34A	A-AFFY-18	P-AFFY-6	H_relapsing 1	A015-MOG_T3_U34A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1025-processed-data-1593096257.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1025/E-MEXP-1025.processed.1.zip	experimental autoimmune encephalomyelitis (relapsing)
